Group No;Group Name;Name;Sub Name;Repeater Call Sign;Gateway Call Sign;Frequency;Dup;Offset;Mode;TONE;Repeater Tone;RPT1USE;Position;Latitude;Longitude;UTC Offset
1;Acre;Rio Branco;;PU8JAA;;146,520000;DUP-;0,000000;FM;OFF;88,5Hz;YES;Approximate;-9,986533;-67,843050;-5:00
2;Alagoas;Maceio;;PU7AAA;;146,520000;DUP-;0,000000;FM;OFF;88,5Hz;YES;Approximate;-9,666033;-35,735233;-3:00
3;Amapa;Macapa;;PQ8AA;;147,210000;DUP+;0,600000;FM;OFF;88,5Hz;YES;Approximate;0,034517;-51,065700;-3:00
3;Amapa;Macapa;;PQ8AAA;;147,100000;DUP+;0,600000;FM;OFF;88,5Hz;YES;Approximate;0,034517;-51,065700;-3:00
3;Amapa;Macapa;;PQ8AK;;146,810000;DUP-;0,600000;FM;OFF;88,5Hz;YES;Approximate;0,034517;-51,065700;-3:00
3;Amapa;Macapa;;PQ8RAN;;146,630000;DUP-;0,600000;FM;TONE;88,5Hz;YES;Approximate;0,034517;-51,065700;-3:00
4;Amazonas;Manaus;LABRE;PP8AAA;;146,910000;DUP-;0,600000;FM;OFF;88,5Hz;YES;Approximate;-3,123850;-60,020583;-4:00
4;Amazonas;Manaus;;PP8LAB;;146,950000;DUP+;0,600000;FM;OFF;88,5Hz;YES;Approximate;-3,123850;-60,020583;-4:00
5;Bahia;Araci;;PY6CDM;;439,150000;DUP-;5,000000;FM;OFF;88,5Hz;YES;Approximate;-11,336783;-38,963250;-3:00
5;Bahia;Camacari;;PY6AD;;145,210000;DUP-;0,600000;FM;TONE;123,0Hz;YES;Approximate;-12,693583;-38,323383;-3:00
5;Bahia;Camacari;;PY6MDC;;439,250000;DUP-;5,000000;FM;OFF;88,5Hz;YES;Approximate;-12,693583;-38,323383;-3:00
5;Bahia;Castro Alves;;PY6QG;;145,290000;DUP-;0,600000;FM;TONE;88,5Hz;YES;Approximate;-12,764383;-39,425733;-3:00
5;Bahia;Conde;;PY6MA;;147,390000;DUP+;0,600000;FM;TONE;88,5Hz;YES;Approximate;-11,826100;-37,635100;-3:00
5;Bahia;Entre Rios;;PY6ER;;145,270000;DUP-;0,600000;FM;OFF;88,5Hz;YES;Approximate;-11,943917;-38,081250;-3:00
5;Bahia;Feira de Santana;;PY6QB;;146,970000;DUP-;0,600000;FM;TONE;88,5Hz;YES;Approximate;-12,255383;-38,955683;-3:00
5;Bahia;Feira de Santana;;PY6VU;;147,270000;DUP+;0,600000;FM;TONE;88,5Hz;YES;Approximate;-12,255383;-38,955683;-3:00
5;Bahia;Porto Seguro;;PY6CG;;146,910000;DUP-;0,600000;FM;OFF;88,5Hz;YES;Approximate;-16,444350;-39,065350;-3:00
5;Bahia;Salvador;;PY6CQ;;146,950000;DUP-;0,600000;FM;OFF;88,5Hz;YES;Approximate;-12,996767;-38,473767;-3:00
5;Bahia;Salvador;;PY6CT;;146,670000;DUP-;0,600000;FM;TONE;88,5Hz;YES;Approximate;-12,996767;-38,473767;-3:00
5;Bahia;Salvador;;PY6MR;;146,610000;DUP-;0,600000;FM;TONE;100,0Hz;YES;Approximate;-12,996767;-38,473767;-3:00
5;Bahia;Santa Teresinha;;PY6BQ;;146,730000;DUP-;0,600000;FM;OFF;88,5Hz;YES;Approximate;-12,778800;-39,503433;-3:00
5;Bahia;Simoes Filho;;PY6RSF;;145,350000;DUP-;0,600000;FM;OFF;88,5Hz;YES;Approximate;-12,996767;-38,473767;-3:00
5;Bahia;Tanquinho;;PU6AAA;;145,000000;DUP-;0,000000;FM;OFF;88,5Hz;YES;Approximate;-11,975900;-39,104667;-3:00
6;Ceara;Caririacu;;PT7CAR;;439,050000;DUP-;5,000000;FM;TONE;67,0Hz;YES;Approximate;-7,039500;-39,211667;-3:00
6;Ceara;Caririacu;;PT7LDC;;147,240000;DUP+;0,600000;FM;TONE;79,7Hz;YES;Approximate;-7,039500;-39,211667;-3:00
6;Ceara;Fortaleza;;PT7LAB;;146,950000;DUP-;0,600000;FM;TONE;79,7Hz;YES;Approximate;-3,728333;-38,538883;-3:00
6;Ceara;Fortaleza;;PT7LOB;;439,950000;DUP-;5,000000;FM;TONE;67,0Hz;YES;Approximate;-3,726700;-38,528600;-3:00
6;Ceara;Fortaleza;;PT7RPX;;146,610000;DUP-;0,600000;FM;TONE;79,7Hz;YES;Approximate;-3,728600;-38,538883;-3:00
6;Ceara;Fortaleza;;PT7TEL;;145,290000;DUP-;0,600000;FM;TONE;79,7Hz;YES;Approximate;-3,724000;-38,537500;-3:00
6;Ceara;Guaramiranga;;PT7RPC;;146,750000;DUP-;0,600000;FM;TONE;79,7Hz;YES;Approximate;-4,208217;-38,974083;-3:00
6;Ceara;Guaramiranga;;PT7RPN;;439,200000;DUP-;5,000000;FM;TONE;67,0Hz;YES;Approximate;-4,208217;-38,974083;-3:00
6;Ceara;Iguatu;;PT7CPD;;147,000000;DUP+;0,600000;FM;OFF;88,5Hz;YES;Approximate;-6,383133;-39,125183;-3:00
6;Ceara;Itaicaba;;PT7BIT;;439,900000;DUP-;5,000000;FM;TONE;67,0Hz;YES;Approximate;-4,683833;-37,844500;-3:00
6;Ceara;Itaicaba;;PT7SAL;;145,230000;DUP-;0,600000;FM;TONE;79,7Hz;YES;Approximate;-4,683833;-37,844500;-3:00
6;Ceara;Itapipoca;;PT7ITA;;145,410000;DUP-;0,600000;FM;TONE;79,7Hz;YES;Approximate;-3,523667;-39,604833;-3:00
6;Ceara;Itapipoca;;PT7ITU;;439,700000;DUP-;5,000000;FM;TONE;67,0Hz;YES;Approximate;-3,523667;-39,604833;-3:00
6;Ceara;Juazeiro d Norte;;PT7SOB;;146,850000;DUP-;0,600000;FM;TONE;79,7Hz;YES;Approximate;-7,179500;-39,325667;-3:00
6;Ceara;Limoeiro d Norte;;PT7EDM;;145,210000;DUP-;0,600000;FM;TONE;79,7Hz;YES;Approximate;-5,193167;-38,053167;-3:00
6;Ceara;Maranguape;;PT7RMF;;439,950000;DUP-;5,000000;FM;TONE;67,0Hz;YES;Approximate;-3,970833;-38,642167;-3:00
6;Ceara;Meruoca;;PT7RPD;;145,250000;DUP+;0,600000;FM;TONE;79,7Hz;YES;Approximate;-3,601167;-40,459167;-3:00
6;Ceara;Meruoca;UHF;PT7NOR;;439,750000;DUP-;5,000000;FM;TONE;67,0Hz;YES;Approximate;-3,601167;-40,459167;-3:00
6;Ceara;Meruoca;VHF;PT7NOR;;147,270000;DUP+;0,600000;FM;TONE;88,5Hz;YES;Approximate;-3,601167;-40,459167;-3:00
6;Ceara;Oros;UHF;PT7RPA;;439,750000;DUP-;5,000000;FM;TONE;88,5Hz;YES;Approximate;-6,191333;-38,891833;-3:00
6;Ceara;Oros;VHF;PT7RPA;;145,450000;DUP-;0,600000;FM;TONE;88,5Hz;YES;Approximate;-6,191333;-38,891833;-3:00
6;Ceara;Quixeramobim;;PT7EOR;;146,730000;DUP-;0,600000;FM;OFF;88,5Hz;YES;Approximate;-5,096383;-39,249717;-3:00
6;Ceara;Quixeramobim;;PT7SOL;;145,350000;DUP-;0,600000;FM;TONE;79,7Hz;YES;Approximate;-5,068883;-39,267217;-3:00
6;Ceara;Tamboril;;PT7CRC;;145,390000;DUP-;0,600000;FM;TONE;79,7Hz;YES;Approximate;-4,835000;-40,156000;-3:00
6;Ceara;Tamboril;;PT7TAB;;439,025000;DUP-;5,000000;FM;TONE;67,0Hz;YES;Approximate;-4,835000;-40,156000;-3:00
6;Ceara;Ubajara;;PT7APA;;145,310000;DUP-;0,600000;FM;TONE;79,7Hz;YES;Approximate;-3,800500;-40,905833;-3:00
6;Ceara;Vicosa Ceara;;PT7NRK;;145,310000;DUP-;0,600000;FM;TONE;79,7Hz;YES;Approximate;-3,551167;-41,106667;-3:00
7;Distrito Federal;Brasilia - AAS;VHF;PT2AAS;;145,210000;DUP-;0,600000;FM;OFF;88,5Hz;YES;Approximate;-15,778483;-47,928683;-3:00
7;Distrito Federal;Brasilia - AAT;VHF;PT2AAT;;146,950000;DUP-;0,600000;FM;TONE;88,5Hz;YES;Approximate;-15,778483;-47,928683;-3:00
7;Distrito Federal;Brasilia - DIG;UHF;PT2DIG;;439,850000;DUP-;5,000000;FM;OFF;88,5Hz;YES;Approximate;-15,778483;-47,928683;-3:00
7;Distrito Federal;Brasilia - GPE;VHF;PT2GPE;;147,210000;DUP+;0,600000;FM;OFF;88,5Hz;YES;Approximate;-15,778483;-47,928683;-3:00
7;Distrito Federal;Brasilia - GPF;VHF;PT2GPF;;146,830000;DUP-;0,600000;FM;OFF;88,5Hz;YES;Approximate;-15,778483;-47,928683;-3:00
7;Distrito Federal;Brasilia - MTD;VHF;PT2MTD;;146,610000;DUP-;0,600000;FM;OFF;88,5Hz;YES;Approximate;-15,778483;-47,928683;-3:00
